rnti,frame,slot,dci,rb_alloc,mcs,rv_idx1,harq_process
18161,781,17,1_1,0x33,26,0,1
18161,782,15,0_1,0x30,24,0,0
18161,815,7,1_1,0x32,26,0,0
18161,865,10,1_1,0x32,27,0,0
18161,868,15,0_1,0x2,24,0,0
18161,869,6,1_1,0x0,27,0,0
18161,869,7,1_1,0x64,26,0,1
18161,870,15,0_1,0x2,25,0,0
18161,871,11,0_1,0x2,24,0,0
18161,872,6,1_1,0x0,27,0,0
18161,872,7,1_1,0x33,26,0,1
18161,872,10,1_1,0x32,27,0,2
18161,872,12,1_1,0x65,26,0,3
18161,872,13,1_1,0x190,27,0,4
18161,872,14,1_1,0x3fc,27,0,5
18161,874,15,0_1,0x30,25,0,0
18161,875,11,0_1,0x2,26,0,0
18161,876,6,1_1,0x0,27,0,0
18161,876,7,1_1,0x33,26,0,1
18161,878,15,0_1,0x2,25,0,0
18161,915,11,1_1,0x32,27,0,0
18161,934,15,0_1,0x30,26,0,0
18161,935,11,0_1,0x30,26,1,0
18161,936,6,1_1,0x32,27,0,0
18161,936,7,1_1,0x64,26,0,1
18161,938,15,0_1,0x2,24,0,0
18161,939,11,0_1,0x30,24,0,0
18161,940,6,1_1,0x32,27,0,0
18161,940,7,1_1,0x33,26,0,1
18161,940,10,1_1,0x0,27,0,2
18161,940,12,1_1,0x65,26,0,3
18161,940,13,1_1,0x190,27,0,4
18161,940,14,1_1,0x3fc,27,0,5
18161,942,15,0_1,0x30,25,0,0
18161,943,11,0_1,0x30,24,0,0
18161,944,5,0_1,0x30,24,1,0
18161,944,16,1_1,0x32,27,0,0
18161,945,0,1_1,0x32,27,0,1
18161,946,15,0_1,0x30,24,0,0
18161,965,13,1_1,0x32,27,0,0
18161,1015,15,1_1,0x0,27,0,0
18161,1022,15,0_1,0x30,25,0,0
18161,1023,11,0_1,0x2,25,1,0
18161,0,6,1_1,0x0,27,0,0
18161,0,7,1_1,0x64,26,0,1
