rnti,frame,slot,dci,rb_alloc,mcs,rv_idx1,harq_process
19754,105,13,1_1,0x165,27,0,0
19754,106,7,1_1,0x3e8,27,0,0
19754,106,15,0_1,0x62,23,0,0
19754,107,1,1_1,0x165,27,0,1
19754,107,15,1_1,0x190,27,0,0
19754,108,10,1_1,0x190,27,0,0
19754,108,15,0_1,0x62,21,0,0
19754,109,5,1_1,0x165,27,0,0
19754,110,1,1_1,0x165,27,0,0
19754,110,13,1_1,0x165,27,0,1
19754,110,15,0_1,0x42,21,0,0
19754,111,7,1_1,0x3c9,27,0,0
19754,112,1,1_1,0x165,26,0,1
19754,112,15,0_1,0x42,23,0,0
19754,112,17,1_1,0x3e8,27,0,0
19754,113,11,1_1,0x165,27,0,1
19754,114,5,1_1,0x165,27,0,0
19754,114,7,1_1,0x0,26,0,1
19754,114,15,0_1,0x42,23,0,0
19754,115,0,1_1,0x190,27,0,0
19754,115,13,1_1,0x165,27,0,1
19754,116,10,1_1,0x165,27,0,0
19754,116,15,0_1,0x42,22,0,0
19754,117,3,1_1,0x190,27,0,1
19754,117,17,1_1,0x3c9,27,0,0
19754,118,11,1_1,0x190,26,0,1
19754,118,15,0_1,0x2,24,0,0
19754,119,5,1_1,0x165,27,0,0
19754,120,1,1_1,0x190,26,0,0
19754,120,15,0_1,0x30,24,0,0
19754,120,15,1_1,0x165,27,0,0
19754,121,10,1_1,0x165,27,0,0
19754,122,3,1_1,0x165,27,0,1
19754,122,15,0_1,0x62,22,0,0
19754,122,17,1_1,0x3e8,27,0,0
19754,123,13,1_1,0x165,27,0,1
19754,124,7,1_1,0x3c9,27,0,0
19754,124,15,0_1,0x62,21,0,0
19754,125,1,1_1,0x190,27,0,1
19754,125,15,1_1,0x190,27,0,0
19754,126,10,1_1,0x165,27,0,0
19754,126,15,0_1,0x42,23,0,0
19754,127,5,1_1,0x190,27,0,0
19754,128,1,1_1,0x165,26,0,0
19754,128,13,1_1,0x190,27,0,1
19754,128,15,0_1,0x62,23,0,0
19754,129,7,1_1,0x3c9,27,0,0
19754,130,1,1_1,0x190,27,0,1
19754,130,15,0_1,0x62,21,0,0
19754,130,17,1_1,0x3c9,27,0,0
19754,131,11,1_1,0x165,27,0,1
19754,132,6,1_1,0x165,27,0,0
19754,132,15,0_1,0x42,21,0,0
19754,133,0,1_1,0x190,27,0,1
19754,133,13,1_1,0x190,27,0,0
19754,134,10,1_1,0x165,27,0,0
19754,134,15,0_1,0x42,21,0,0
19754,135,3,1_1,0x190,27,0,1
19754,135,17,1_1,0x3e8,27,0,0
19754,136,11,1_1,0x165,26,0,1
19754,136,15,0_1,0x2,24,0,0
19754,137,5,1_1,0x190,27,0,0
19754,138,1,1_1,0x165,27,0,0
19754,138,15,0_1,0x62,23,0,0
19754,138,15,1_1,0x190,27,0,0
19754,139,10,1_1,0x190,27,0,0
19754,140,6,1_1,0x165,27,0,0
19754,140,15,0_1,0x42,23,0,0
19754,140,17,1_1,0x3c9,27,0,1
19754,141,13,1_1,0x165,27,0,0
19754,142,7,1_1,0x3c9,27,0,0
19754,142,15,0_1,0x2,24,0,0
19754,143,1,1_1,0x165,27,0,1
19754,143,15,1_1,0x190,27,0,0
19754,144,10,1_1,0x190,27,0,0
19754,144,15,0_1,0x42,23,0,0
19754,145,5,1_1,0x165,27,0,0
19754,146,1,1_1,0x190,27,0,0
19754,146,13,1_1,0x190,27,0,1
19754,146,15,0_1,0x62,23,0,0
19754,147,7,1_1,0x3e8,27,0,0
19754,148,1,1_1,0x165,26,0,1
19754,148,15,0_1,0x62,21,0,0
19754,148,17,1_1,0x3c9,27,0,0
19754,149,11,1_1,0x190,27,0,1
19754,150,5,1_1,0x165,27,0,0
19754,150,15,0_1,0x62,21,0,0
19754,151,0,1_1,0x190,27,0,0
19754,151,13,1_1,0x190,27,0,1
19754,152,10,1_1,0x190,27,0,0
19754,152,15,0_1,0x62,21,0,0
19754,153,3,1_1,0x165,27,0,1
19754,153,17,1_1,0x3c9,27,0,0
19754,154,11,1_1,0x165,26,0,1
19754,154,15,0_1,0x62,21,0,0
19754,155,5,1_1,0x190,27,0,0
19754,156,1,1_1,0x190,26,0,0
19754,156,15,0_1,0x62,21,0,0
19754,156,15,1_1,0x165,27,0,0
19754,157,10,1_1,0x190,27,0,0
19754,158,3,1_1,0x190,27,0,1
19754,158,15,0_1,0x62,21,0,0
19754,158,17,1_1,0x3c9,27,0,0
19754,159,13,1_1,0x165,27,0,1
19754,160,7,1_1,0x3c9,27,0,0
19754,160,15,0_1,0x62,21,0,0
19754,161,1,1_1,0x190,27,0,1
19754,161,15,1_1,0x190,27,0,0
19754,162,10,1_1,0x165,27,0,0
19754,162,15,0_1,0x42,21,0,0
19754,163,5,1_1,0x165,27,0,0
19754,164,1,1_1,0x190,26,0,0
19754,164,10,1_1,0x0,27,0,1
19754,164,13,1_1,0x190,27,0,2
19754,164,15,0_1,0x62,23,0,0
19754,165,7,1_1,0x3c9,27,0,0
19754,165,11,0_1,0x62,23,1,0
19754,166,1,1_1,0x190,27,0,1
19754,166,15,0_1,0x42,21,0,0
19754,166,17,1_1,0x3e8,27,0,0
19754,167,11,1_1,0x165,27,0,1
19754,168,6,1_1,0x165,27,0,0
19754,168,15,0_1,0x62,22,0,0
19754,169,0,1_1,0x190,27,0,1
19754,169,13,1_1,0x190,27,0,0
19754,170,10,1_1,0x190,27,0,0
19754,170,15,0_1,0x62,21,0,0
19754,171,3,1_1,0x190,27,0,1
19754,171,17,1_1,0x3c9,27,0,0
19754,172,11,1_1,0x165,26,0,1
19754,172,15,0_1,0x62,21,0,0
19754,173,5,1_1,0x190,27,0,0
19754,174,1,1_1,0x190,27,0,0
19754,174,15,0_1,0x30,24,0,0
19754,174,15,1_1,0x165,27,0,0
19754,175,10,1_1,0x165,27,0,0
19754,176,6,1_1,0x190,27,0,0
19754,176,15,0_1,0x62,22,0,0
19754,176,17,1_1,0x3e8,27,0,1
19754,177,13,1_1,0x165,27,0,0
19754,178,7,1_1,0x3e8,27,0,0
19754,178,15,0_1,0x42,21,0,0
19754,179,1,1_1,0x165,27,0,1
19754,179,15,1_1,0x190,27,0,0
19754,180,10,1_1,0x190,27,0,0
19754,180,15,0_1,0x30,24,0,0
19754,181,5,1_1,0x190,27,0,0
19754,182,1,1_1,0x190,27,0,0
19754,182,13,1_1,0x190,27,0,1
19754,182,15,0_1,0x2,24,0,0
19754,183,7,1_1,0x3c9,27,0,0
19754,184,1,1_1,0x190,26,0,1
19754,184,15,0_1,0x62,22,0,0
19754,184,17,1_1,0x3c9,27,0,0
19754,185,11,1_1,0x190,27,0,1
19754,186,5,1_1,0x190,27,0,0
19754,186,15,0_1,0x62,21,0,0
19754,187,0,1_1,0x165,27,0,0
19754,187,13,1_1,0x165,27,0,1
19754,188,10,1_1,0x190,27,0,0
19754,188,15,0_1,0x42,22,0,0
19754,189,3,1_1,0x165,27,0,1
19754,189,17,1_1,0x3e8,27,0,0
19754,190,11,1_1,0x165,26,0,1
19754,190,15,0_1,0x62,21,0,0
19754,191,5,1_1,0x190,27,0,0
19754,192,1,1_1,0x190,26,0,0
19754,192,15,0_1,0x42,21,0,0
19754,192,15,1_1,0x190,27,0,0
19754,193,10,1_1,0x190,27,0,0
19754,194,3,1_1,0x165,27,0,1
19754,194,15,0_1,0x42,21,0,0
19754,194,17,1_1,0x3c9,27,0,0
19754,195,13,1_1,0x165,27,0,1
19754,196,7,1_1,0x3e8,27,0,0
19754,196,15,0_1,0x62,23,0,0
19754,197,1,1_1,0x190,27,0,1
19754,197,15,1_1,0x165,27,0,0
19754,198,10,1_1,0x190,27,0,0
19754,198,15,0_1,0x62,22,0,0
19754,199,5,1_1,0x190,27,0,0
19754,200,1,1_1,0x165,26,0,0
19754,200,13,1_1,0x165,27,0,1
19754,200,15,0_1,0x62,23,0,0
19754,201,7,1_1,0x3e8,27,0,0
19754,202,1,1_1,0x165,27,0,1
19754,202,15,0_1,0x62,21,0,0
19754,202,17,1_1,0x3e8,27,0,0
19754,203,11,1_1,0x165,27,0,1
19754,204,6,1_1,0x190,27,0,0
19754,204,15,0_1,0x42,21,0,0
19754,205,0,1_1,0x165,27,0,1
19754,205,13,1_1,0x165,27,0,0
19754,206,10,1_1,0x165,27,0,0
19754,206,15,0_1,0x62,21,0,0
19754,207,3,1_1,0x165,27,0,1
19754,207,17,1_1,0x3e8,27,0,0
19754,208,11,1_1,0x165,26,0,1
19754,208,15,0_1,0x42,21,0,0
19754,209,5,1_1,0x190,27,0,0
19754,210,1,1_1,0x190,27,0,0
19754,210,15,0_1,0x62,21,0,0
19754,210,15,1_1,0x190,27,0,0
19754,211,10,1_1,0x190,27,0,0
19754,212,6,1_1,0x190,27,0,0
19754,212,15,0_1,0x42,22,0,0
19754,212,17,1_1,0x3c9,27,0,1
19754,213,13,1_1,0x190,27,0,0
19754,214,7,1_1,0x3e8,27,0,0
